,pos_proportion,neg_proportion,tonality,unc_proportion,cons_proportion,lit_proportion,modstrong_proportion,modweak_proportion,fog_index,wordcount,complex_pr,words_ps
238,0.046536796536796536,0.017316017316017316,0.4576271186440678,0.008658008658008658,0.0021645021645021645,0.005411255411255411,0.0021645021645021645,0.0021645021645021645,21.370778586507864,1788.0,0.28243847874720357,25.183098591549296
239,0.032640949554896145,0.025222551928783383,0.1282051282051282,0.0,0.002967359050445104,0.001483679525222552,0.001483679525222552,0.0,20.22204323866045,1348.0,0.26483679525222553,24.071428571428573
240,0.04261363636363636,0.019886363636363636,0.36363636363636365,0.005681818181818182,0.002840909090909091,0.004261363636363636,0.0014204545454545455,0.004261363636363636,21.800513468356495,1389.0,0.28293736501079914,26.20754716981132
241,0.06936416184971098,0.02023121387283237,0.5483870967741935,0.005780346820809248,0.002890173410404624,0.005780346820809248,0.002890173410404624,0.002890173410404624,23.76,625.0,0.344,25.0
242,0.05191256830601093,0.02185792349726776,0.4074074074074074,0.0,0.00819672131147541,0.00273224043715847,0.00273224043715847,0.0,23.401376936316694,664.0,0.34789156626506024,23.714285714285715
243,0.05829596412556054,0.017937219730941704,0.5294117647058824,0.0,0.004484304932735426,0.008968609865470852,0.004484304932735426,0.0,24.703448275862073,406.0,0.3275862068965517,29.0
244,0.07885304659498207,0.010752688172043012,0.76,0.0,0.0035842293906810036,0.0035842293906810036,0.0035842293906810036,0.0,23.255680345572355,463.0,0.34989200863930886,23.15
245,0.05732484076433121,0.012738853503184714,0.6363636363636364,0.0015923566878980893,0.006369426751592357,0.0015923566878980893,0.0015923566878980893,0.0015923566878980893,21.560733378780814,1186.0,0.2866779089376054,25.23404255319149
246,0.06334841628959276,0.016591251885369532,0.5849056603773585,0.006033182503770739,0.010558069381598794,0.0030165912518853697,0.004524886877828055,0.0030165912518853697,21.648568070761428,1268.0,0.29258675078864355,24.862745098039216
247,0.04118404118404118,0.01673101673101673,0.4222222222222222,0.009009009009009009,0.009009009009009009,0.002574002574002574,0.003861003861003861,0.002574002574002574,21.13899934810952,1534.0,0.28878748370273793,23.96875
